0 0 cost:0.723817,auc:0.504625
100 1 cost:0.723438,auc:0.506987
200 2 cost:0.723423,auc:0.507012
300 3 cost:0.723417,auc:0.507015
400 4 cost:0.723415,auc:0.507025
500 5 cost:0.723414,auc:0.507028
600 6 cost:0.723414,auc:0.507026
700 7 cost:0.723414,auc:0.507026
800 8 cost:0.723413,auc:0.507027
900 8 cost:0.723413,auc:0.507028
1000 9 cost:0.723413,auc:0.507028
1100 10 cost:0.723413,auc:0.507027
1200 11 cost:0.723413,auc:0.507027
1300 12 cost:0.723413,auc:0.507028
1400 13 cost:0.723413,auc:0.507028
1500 14 cost:0.723413,auc:0.507028
1600 15 cost:0.723413,auc:0.507028
1700 16 cost:0.723413,auc:0.507028
1800 17 cost:0.723413,auc:0.507028
1900 18 cost:0.723413,auc:0.507028
2000 19 cost:0.723413,auc:0.507028
2100 20 cost:0.723413,auc:0.507028
2200 21 cost:0.723413,auc:0.507028
2300 22 cost:0.723413,auc:0.507028
2400 23 cost:0.723413,auc:0.507028
2500 24 cost:0.723413,auc:0.507028
2600 25 cost:0.723413,auc:0.507028
2700 26 cost:0.723413,auc:0.507028
2800 27 cost:0.723413,auc:0.507028
2900 28 cost:0.723413,auc:0.507028
3000 29 cost:0.723413,auc:0.507028
3100 30 cost:0.723413,auc:0.507028
3200 31 cost:0.723413,auc:0.507028
3300 32 cost:0.723413,auc:0.507028
3400 33 cost:0.723413,auc:0.507028
3500 34 cost:0.723413,auc:0.507028
3600 35 cost:0.723413,auc:0.507028
3700 36 cost:0.723413,auc:0.507028
3800 37 cost:0.723413,auc:0.507028
3900 38 cost:0.723413,auc:0.507028
4000 39 cost:0.723413,auc:0.507028
4100 40 cost:0.723413,auc:0.507028
4200 41 cost:0.723413,auc:0.507028
4300 42 cost:0.723413,auc:0.507028
4400 43 cost:0.723413,auc:0.507028
4500 44 cost:0.723413,auc:0.507028
4600 45 cost:0.723413,auc:0.507028
4700 46 cost:0.723413,auc:0.507028
4800 47 cost:0.723413,auc:0.507028
4900 48 cost:0.723413,auc:0.507028
5000 49 cost:0.723413,auc:0.507028
5100 50 cost:0.723413,auc:0.507028
5200 51 cost:0.723413,auc:0.507028
5300 52 cost:0.723413,auc:0.507028
5400 53 cost:0.723413,auc:0.507028
5500 54 cost:0.723413,auc:0.507028
5600 55 cost:0.723413,auc:0.507028
5700 56 cost:0.723413,auc:0.507028
5800 57 cost:0.723413,auc:0.507028
5900 58 cost:0.723413,auc:0.507028
6000 59 cost:0.723413,auc:0.507028
6100 60 cost:0.723413,auc:0.507028
6200 60 cost:0.723413,auc:0.507028
6300 61 cost:0.723413,auc:0.507028
6400 62 cost:0.723413,auc:0.507028
6500 63 cost:0.723413,auc:0.507028
6600 64 cost:0.723413,auc:0.507028
6700 65 cost:0.723413,auc:0.507028
6800 66 cost:0.723413,auc:0.507028
6900 67 cost:0.723413,auc:0.507028
7000 68 cost:0.723413,auc:0.507028
7100 69 cost:0.723413,auc:0.507028
7200 70 cost:0.723413,auc:0.507028
7300 71 cost:0.723413,auc:0.507028
7400 72 cost:0.723413,auc:0.507028
7500 73 cost:0.723413,auc:0.507028
7600 74 cost:0.723413,auc:0.507028
7700 75 cost:0.723413,auc:0.507028
7800 76 cost:0.723413,auc:0.507028
7900 77 cost:0.723413,auc:0.507028
8000 78 cost:0.723413,auc:0.507028
8100 79 cost:0.723413,auc:0.507028
8200 80 cost:0.723413,auc:0.507028
8300 81 cost:0.723413,auc:0.507028
8400 82 cost:0.723413,auc:0.507028
8500 83 cost:0.723413,auc:0.507028
8600 84 cost:0.723413,auc:0.507028
8700 85 cost:0.723413,auc:0.507028
8800 86 cost:0.723413,auc:0.507028
8900 87 cost:0.723413,auc:0.507028
9000 88 cost:0.723413,auc:0.507028
9100 89 cost:0.723413,auc:0.507028
9200 90 cost:0.723413,auc:0.507028
9300 91 cost:0.723413,auc:0.507028
9400 92 cost:0.723413,auc:0.507028
9500 93 cost:0.723413,auc:0.507028
9600 94 cost:0.723413,auc:0.507028
9700 95 cost:0.723413,auc:0.507028
9800 96 cost:0.723413,auc:0.507028
9900 97 cost:0.723413,auc:0.507028
