0 0 cost:0.723086,auc:0.534720
100 1 cost:0.723464,auc:0.507092
200 2 cost:0.723453,auc:0.507063
300 3 cost:0.723445,auc:0.507053
400 4 cost:0.723438,auc:0.507054
500 5 cost:0.723433,auc:0.507059
600 6 cost:0.723429,auc:0.507065
700 8 cost:0.723425,auc:0.507081
800 9 cost:0.723422,auc:0.507096
900 10 cost:0.723420,auc:0.507123
1000 11 cost:0.723418,auc:0.507168
1100 12 cost:0.723415,auc:0.507240
1200 13 cost:0.723412,auc:0.507357
1300 15 cost:0.723408,auc:0.507544
1400 16 cost:0.723403,auc:0.507841
1500 17 cost:0.723394,auc:0.508325
1600 18 cost:0.723379,auc:0.509101
1700 19 cost:0.723356,auc:0.510357
1800 20 cost:0.723318,auc:0.512392
1900 21 cost:0.723256,auc:0.515687
2000 23 cost:0.723157,auc:0.521041
2100 24 cost:0.722996,auc:0.529910
2200 25 cost:0.722746,auc:0.545055
2300 26 cost:0.722367,auc:0.571078
2400 27 cost:0.721820,auc:0.616704
2500 28 cost:0.721079,auc:0.705368
2600 30 cost:0.720158,auc:0.792576
2700 31 cost:0.719121,auc:0.849503
2800 32 cost:0.718065,auc:0.880797
2900 33 cost:0.717088,auc:0.897925
3000 34 cost:0.716253,auc:0.907673
3100 35 cost:0.715580,auc:0.913531
3200 37 cost:0.715060,auc:0.917300
3300 38 cost:0.714669,auc:0.919810
3400 39 cost:0.714379,auc:0.921521
3500 40 cost:0.714164,auc:0.922714
3600 41 cost:0.714007,auc:0.923535
3700 42 cost:0.713889,auc:0.924074
3800 43 cost:0.713801,auc:0.924406
3900 45 cost:0.713734,auc:0.924597
4000 46 cost:0.713682,auc:0.924682
4100 47 cost:0.713641,auc:0.924669
4200 48 cost:0.713609,auc:0.924605
4300 49 cost:0.713583,auc:0.924484
4400 50 cost:0.713561,auc:0.924319
4500 51 cost:0.713543,auc:0.924126
4600 52 cost:0.713528,auc:0.923920
4700 54 cost:0.713515,auc:0.923697
4800 55 cost:0.713503,auc:0.923472
4900 56 cost:0.713494,auc:0.923254
5000 57 cost:0.713484,auc:0.923033
5100 58 cost:0.713477,auc:0.922834
5200 59 cost:0.713469,auc:0.922635
5300 60 cost:0.713462,auc:0.922452
5400 62 cost:0.713455,auc:0.922278
5500 63 cost:0.713449,auc:0.922116
5600 64 cost:0.713443,auc:0.921972
5700 65 cost:0.713438,auc:0.921830
5800 66 cost:0.713432,auc:0.921698
5900 67 cost:0.713427,auc:0.921588
6000 68 cost:0.713422,auc:0.921487
6100 70 cost:0.713417,auc:0.921407
6200 71 cost:0.713412,auc:0.921345
6300 72 cost:0.713407,auc:0.921295
6400 73 cost:0.713402,auc:0.921253
6500 74 cost:0.713396,auc:0.921228
6600 75 cost:0.713392,auc:0.921217
6700 76 cost:0.713387,auc:0.921211
6800 77 cost:0.713382,auc:0.921222
6900 79 cost:0.713377,auc:0.921241
7000 80 cost:0.713372,auc:0.921275
7100 81 cost:0.713367,auc:0.921307
7200 82 cost:0.713362,auc:0.921354
7300 83 cost:0.713357,auc:0.921402
7400 84 cost:0.713352,auc:0.921465
7500 85 cost:0.713347,auc:0.921527
7600 87 cost:0.713342,auc:0.921589
7700 88 cost:0.713337,auc:0.921647
7800 89 cost:0.713332,auc:0.921706
7900 90 cost:0.713327,auc:0.921774
8000 91 cost:0.713322,auc:0.921837
8100 92 cost:0.713317,auc:0.921910
8200 94 cost:0.713312,auc:0.921987
8300 95 cost:0.713307,auc:0.922059
8400 96 cost:0.713302,auc:0.922135
8500 97 cost:0.713297,auc:0.922204
8600 98 cost:0.713292,auc:0.922270
8700 99 cost:0.713287,auc:0.922343
8800 100 cost:0.713283,auc:0.922401
8900 102 cost:0.713278,auc:0.922474
9000 103 cost:0.713273,auc:0.922527
9100 104 cost:0.713268,auc:0.922562
9200 105 cost:0.713263,auc:0.922585
9300 106 cost:0.713259,auc:0.922603
9400 107 cost:0.713254,auc:0.922622
9500 108 cost:0.713249,auc:0.922645
9600 110 cost:0.713244,auc:0.922653
9700 111 cost:0.713239,auc:0.922652
9800 112 cost:0.713235,auc:0.922635
9900 113 cost:0.713230,auc:0.922605
